Date,Close,Signal,Cash,Shares,Position_Value,Portfolio_Value
2023-04-27,168.41000366210938,Hold,0.0,87.00661104999993,14652.783685558215,14652.783685558215
2023-04-28,169.67999267578125,Hold,0.0,87.00661104999993,14763.281125708536,14763.281125708536
2023-05-01,169.58999633789062,Strong Buy,0.0,87.00661104999993,14755.450849341763,14755.450849341763
2023-05-02,168.5399932861328,Hold,0.0,87.00661104999993,14664.093642216158,14664.093642216158
2023-05-03,167.4499969482422,Hold,0.0,87.00661104999993,14569.256754799384,14569.256754799384
2023-05-04,165.7899932861328,Sell,14410.400636366829,0.0,0.0,14410.400636366829
2023-05-05,173.57000732421875,Strong Buy,0.0,82.94054057876245,14395.990235730462,14395.990235730462
2023-05-08,173.5,Buy,0.0,82.94054057876245,14390.183790415285,14390.183790415285
2023-05-09,171.77000427246094,Buy,0.0,82.94054057876245,14246.697009574245,14246.697009574245
2023-05-10,173.55999755859375,Buy,0.0,82.94054057876245,14395.160020358457,14395.160020358457
2023-05-11,173.75,Buy,0.0,82.94054057876245,14410.918925559976,14410.918925559976
2023-05-12,172.57000732421875,Hold,0.0,82.94054057876245,14313.049695151698,14313.049695151698
2023-05-15,172.07000732421875,Hold,0.0,82.94054057876245,14271.579424862317,14271.579424862317
2023-05-16,172.07000732421875,Hold,0.0,82.94054057876245,14271.579424862317,14271.579424862317
2023-05-17,172.69000244140625,Hold,0.0,82.94054057876245,14323.002155038042,14323.002155038042
2023-05-18,175.0500030517578,Hold,0.0,82.94054057876245,14518.74188142681,14518.74188142681
2023-05-19,175.16000366210938,Strong Buy,0.0,82.94054057876245,14527.865391513362,14527.865391513362
2023-05-22,174.1999969482422,Hold,0.0,82.94054057876245,14448.241915705976,14448.241915705976
2023-05-23,171.55999755859375,Hold,0.0,82.94054057876245,14229.278939200933,14229.278939200933
2023-05-24,171.83999633789062,Hold,0.0,82.94054057876245,14252.502189317209,14252.502189317209
2023-05-25,172.99000549316406,Hold,0.0,82.94054057876245,14347.884570326114,14347.884570326114
2023-05-26,175.42999267578125,Hold,0.0,82.94054057876245,14550.258426257635,14550.258426257635
2023-05-30,177.3000030517578,Hold,0.0,82.94054057876245,14705.358097729026,14705.358097729026
2023-05-31,177.25,Buy,0.0,82.94054057876245,14701.210817585645,14701.210817585645
2023-06-01,180.08999633789062,Hold,0.0,82.94054057876245,14936.761649091999,14936.761649091999
2023-06-02,180.9499969482422,Hold,0.0,82.94054057876245,15008.090564612623,15008.090564612623
2023-06-05,179.5800018310547,Buy,0.0,82.94054057876245,14894.462429002826,14894.462429002826
2023-06-06,179.2100067138672,Buy,0.0,82.94054057876245,14863.774833971793,14863.774833971793
2023-06-07,177.82000732421875,Buy,0.0,82.94054057876245,14748.487533190202,14748.487533190202
2023-06-08,180.57000732421875,Buy,0.0,82.94054057876245,14976.574019781798,14976.574019781798
2023-06-09,180.9600067138672,Buy,0.0,82.94054057876245,15008.920779984626,15008.920779984626
2023-06-12,183.7899932861328,Hold,0.0,82.94054057876245,15243.641396118977,15243.641396118977
2023-06-13,183.30999755859375,Hold,0.0,82.94054057876245,15203.830291001392,15203.830291001392
2023-06-14,183.9499969482422,Hold,0.0,82.94054057876245,15256.91218634891,15256.91218634891
2023-06-15,186.00999450683594,Hold,0.0,82.94054057876245,15427.769497449606,15427.769497449606
2023-06-16,184.9199981689453,Buy,0.0,82.94054057876245,15337.364611956087,15337.364611956087
2023-06-20,185.00999450683594,Hold,0.0,82.94054057876245,15344.828956870844,15344.828956870844
